file	line	english	russian	status
overrides/config/ftbquests/quests/chapters/basic_information.snbt	28	If you fall off your asteroid you will respawn above the world and drop back down	Если вы упадёте с астероида, то возродитесь над миром и упадёте обратно	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	37	Forgiving Void	Прощающая пустота	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	45	The shop will slowly unlock as you complete more and more quests. Most quests will reward B Bucks	Ассортимент магазина будет расширяться по мере выполнения заданий. За большинство заданий вы получите B-баксы	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	61	The Shop	Магазин	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	69	You may have noticed that you can jump higher. Space dimensions have reduced gravity making you jump higher. Fall damage will not hurt you in space	Вы могли заметить, что здесь прыгаете выше. В космических измерениях понижена гравитация, а урон от падения отсутствует	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	78	Gravity	Гравитация	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	86	Join the discord here. https://discord.gg/UpJknJ8	Присоединяйтесь к серверу Discord: https://discord.gg/UpJknJ8	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	104	Join the discord for tips, tricks and suggestions	Загляните в Discord за советами, подсказками и обсуждением сборки	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	107	Discord	Discord	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	113	Press L to create your sky block island	Нажмите L, чтобы создать свой остров в небе	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	122	Press L	Нажмите L	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	130	Use /ftbteams to create a party so your quests sync	Создайте команду с помощью /ftbteams, чтобы синхронизировать прогресс заданий	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	139	FTB Quests	FTB Quests	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	147	FTB Ultimine can be used to break up to 64 blocks of the same type. Break a block when holding the grave button to use	FTB Ultimine позволяет сломать до 64 одинаковых блоков за раз. Для этого ломайте блок, удерживая клавишу тильды (~)	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	158	FTB Ultimine	FTB Ultimine	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	164	If you do die you can get a new space suit in the emergency items section of the quests	Если вы погибнете, новый скафандр можно получить в разделе экстренных предметов книги заданий	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	175	Death	Смерть	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	180	Basic Information	Основная информация	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	16	Allows your network to use more channels. The max channel amount can be outputted from each side. Can be a mulitblock to provide even more channels!	Увеличивает число каналов МЭ-сети. Максимальное число каналов доступно с каждой стороны; несколько контроллеров можно объединить в мультиблок	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	33	A place to store your storage drives	Сюда устанавливаются ячейки хранения	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	50	Used to create the pattens for recipes	Создаёт шаблоны рецептов	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	67	View items stored in your network, and craft from them	Показывает предметы в МЭ-сети и позволяет создавать из них новые	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	84	View saved patterns	Показывает сохранённые шаблоны	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	101	Basic connecting cable for ae2	Базовый соединительный кабель AE2	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	118	Shows amount of used channels	Показывает число занятых каналов	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	134	Any #ae2:smart_cable	Любой предмет из тега #ae2:smart_cable	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	137	Smart Cable	Умный кабель	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	159	Any #ae2:smart_dense_cable	Любой #ae2:smart_dense_cable	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	162	Dense Smart Cable	Плотный умный кабель	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	200	Allows more channels through the cable	Передаёт больше каналов по одному кабелю	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	216	Any #ae2:covered_cable	Любой предмет из тега #ae2:covered_cable	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	219	Covered Cable	Закрытый кабель	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	225	Allows the max amount of channels through the cable	Передаёт максимальное число каналов по одному кабелю	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	241	Any #ae2:covered_dense_cable	Любой предмет из тега #ae2:covered_dense_cable	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	244	Dense Covered Cable	Плотный закрытый кабель	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	250	Smelted sky stone block	Переплавленный блок небесного камня	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	267	Made in the inscriber	Создаётся в высекателе	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	301	Can be placed onto fluix cables, produces light, used in making other terminals	Устанавливается на флюиксовый кабель, излучает свет и используется для создания других терминалов	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	318	Building	Строительство	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	335	Destroying	Разрушение	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	356	View items stored in your network	Показывает предметы, хранящиеся в МЭ-сети	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	373	When patterns are placed in adjacent pattern providers will all the crafting of saved items	Вместе с соседними поставщиками шаблонов автоматически создаёт предметы по сохранённым рецептам	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	394	Placed on molecular assemblers to add crafting recipes to them. Placed on machines to craft inside them instead	Рядом с молекулярным сборщиком добавляет ему рецепты создания; рядом с машиной запускает обработку внутри неё	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	410	Any #ae2:pattern_provider	Любой предмет из тега #ae2:pattern_provider	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	413	Pattern Providers	Поставщики шаблонов	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	422	The base of crafting storage	Основа хранилища создания	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	439	Allows crafting of items automatically, the higher the storage the bigger the crafting recipes. Placed onto a connected cable	Автоматически создаёт предметы. Чем больше объём хранилища, тем сложнее могут быть рецепты. Устанавливается на подключённый кабель	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	456	Allows multiple crafting storages to work together on the same recipe or seperatly	Позволяет нескольким хранилищам создания обрабатывать один рецепт совместно или работать раздельно	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	473	Stores items	Хранит предметы	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	494	Imports item into the network	Импортирует предметы в сеть	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	511	Exports items from the network	Экспортирует предметы из сети	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	528	Allows your network to view items that are not stored in it. Connect to a storage controller to view all item in your storage drawers	Позволяет сети видеть предметы во внешнем хранилище. Подключите шину к контроллеру, чтобы видеть содержимое всех складских ящиков	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	549	Interface	Интерфейс	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	565	Any #ae2:interface	Любой предмет из тега #ae2:interface	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	568	Interfaces	Интерфейсы	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	574	Power your network	Питает вашу сеть энергией	reviewed
overrides/config/ftbquests/quests/chapters/better_storage.snbt	590	Better Storage	Улучшенное хранение	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	13	When placed in a 2x2x2 and using the hammer on then will create the alloy kiln	Сложите куб 2x2x2 и ударьте по нему инженерным молотом, чтобы построить сплавную печь	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	30	An alloy of copper and tin, can be made in the alloy kiln	Сплав меди и олова, который получают в сплавной печи	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	47	The miners science pack can be used to create different ores and geodes	Исследовательский набор шахтёра используется для создания различных руд и жеод	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	64	Comes from bright stone when cooked in a cobblestone furnace	Получается при переплавке яркого камня в булыжной печи	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	81	When placed in the world will grow crystals. Alternatively can be grown in the garden cloche with a cluster template	После размещения в мире выращивает кристаллы. Также их можно выращивать в садовом клоше с шаблоном кластера	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	132	Can be crafted from stone and miners research packs.	Создаётся из камня и исследовательских наборов шахтёра	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	149	Used to grow crystals inside the garden cloche	Позволяет выращивать кристаллы в садовом клоше	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	166	Grown inside a garden cloche	Выращивается в садовом клоше	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	220	Drops from broken clusters, Cluster can be crafted into there ingot or gem varients	Выпадает при разрушении кластеров. Из кластеров можно создавать соответствующие слитки или самоцветы	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	271	Hard bar	Прочный стержень	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	291	Made inside the coke oven	Создаётся в коксовой печи	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	308	Useful for smelting items	Используется как топливо для переплавки	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	360	Drops from broken clusters, Cluster can be smelted into there ingot or gem varients	Выпадает при разрушении кластеров. Кластеры можно переплавлять в соответствующие слитки или самоцветы	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	377	Stores fluids, retains fluids when broken	Хранит жидкости и сохраняет содержимое после разрушения	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	394	Provide with water and power to produce ice, hopper underneath to automatically extract created ice	Подайте воду и энергию, чтобы получать лёд. Воронка снизу будет автоматически забирать готовый лёд	reviewed
overrides/config/ftbquests/quests/chapters/bronze_age.snbt	410	Growing Crystals	Выращивание кристаллов	reviewed
overrides/config/ftbquests/quests/chapters/clusters_again.snbt	272	Clusters Again	Снова кластеры	reviewed
overrides/config/ftbquests/quests/chapters/computer.snbt	210	Processors	Процессоры	reviewed
overrides/config/ftbquests/quests/chapters/decorations.snbt	11	Of the old days	Напоминание о былых временах	reviewed
overrides/config/ftbquests/quests/chapters/decorations.snbt	27	Globe	Глобус	reviewed
overrides/config/ftbquests/quests/chapters/decorations.snbt	32	Need dye?	Нужны красители?	reviewed
overrides/config/ftbquests/quests/chapters/decorations.snbt	49	Dyes	Красители	reviewed
overrides/config/ftbquests/quests/chapters/decorations.snbt	54	Decorations	Украшения	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	13	A alloy of gold and silver	Сплав золота и серебра	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	30	Made by breaking glowstone blocks, can also be made in machines from glowstone blocks	Выпадает при разрушении блоков светокамня; также создаётся из них в машинах	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	47	Charges items	Заряжает предметы	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	64	Made in the charger from redstone. You can also make glowstone geodes	Создаётся из редстоуна в заряднике. Также можно создавать жеоды светокамня	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	81	Smelted quartz dust in a arc furnace	Переплавленная кварцевая пыль из дуговой печи	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	98	Made in the charger from glowstone dust	Создаётся из пыли светокамня в заряднике	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	115	Made in the charger	Создаётся в заряднике	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	135	Made inside the arc furance from charged quartz, redstone, glowstone, certus quartz dust and electrum	Создаётся в дуговой печи из заряженного истинного кварца, редстоуна, светокамня, пыли истинного кварца и электрума	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	152	Made inside the arc furnace	Создаётся в дуговой печи	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	169	Electrum dust	Электрумовая пыль	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	186	A block of fluix 	Блок флюикса	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	203	This will give you one of every press for applied energistics. You only need to break this only once	При разрушении выдаёт по одному прессу каждого вида для Applied Energistics 2. Сломать его достаточно один раз	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	220	Used to make processors	Используется для изготовления процессоров	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	253	Made in the arc furnace from fluix blocks	Создаётся из блоков флюикса в дуговой печи	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	270	Can be made by throwing certus quartz block and charged certus into water. Compact machines allow water to be placed in them	Бросьте блок истинного кварца и заряженный истинный кварц в воду. Воду можно разместить внутри компактной машины	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	287	Better budding quartz	Улучшенный цветущий истинный кварц	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	304	Even better budding quartz	Продвинутый цветущий истинный кварц	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	321	Perfection, this can now be used in a garden cloche	Идеально! Теперь его можно использовать в садовом клоше	reviewed
overrides/config/ftbquests/quests/chapters/electrum.snbt	337	Electrum	Электрум	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	13	First tier of crafting table not to useful	Первый уровень верстака — пока не слишком полезный	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	30	Used to make some machines	Используется для изготовления некоторых машин	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	47	Made from black iron in a metal press with a plate mold	Создаётся из чёрного железа в прессе для металла с пресс-формой для пластин	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	64	Raw coal can be obtained from never ender coal ore	Необработанный уголь добывается из бесконечной эндер-руды угля	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	81	Much more advanced crafting	Гораздо более продвинутое создание предметов	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	98	Used with the crafting core	Используется вместе с ядром создания	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	115	Uses energy and items around it on pedestals	Использует энергию и предметы, размещённые вокруг на пьедесталах	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	135	Its BACK! Can be used to create more alien artifacts	ОНО ВЕРНУЛОСЬ! Позволяет создавать новые инопланетные артефакты	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	152	Don't we all love this machine !!! We all know what comes next	Ну кто не любит эту машину?! Все мы знаем, что будет дальше	reviewed
overrides/config/ftbquests/quests/chapters/extreme_crafting.snbt	168	Extreme Crafting	Экстремальное создание	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	16	The gem of gems 	Самоцвет самоцветов	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	28	A bigger bigger crafting table	Ещё более огромный верстак	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	51	The biggest and the best crafting table	Самый большой и лучший верстак	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	63	Shard of shards	Осколок осколков	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	78	Getting ready to go home sweet home	Готовимся вернуться домой, в родные края	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	90	Overworld core is used to make the frame for the space portal	Ядро Верхнего мира используется для создания рамы космического портала	reviewed
overrides/config/ftbquests/quests/chapters/gem_of_gems.snbt	101	Overworld Core	Ядро Верхнего мира	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	17	Using the engineers manual you can create the metal press	Следуя руководству инженера, вы сможете построить пресс для металла	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	61	Metal Press	Пресс для металла	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	67	Allows the metal press to make plates	Позволяет прессу для металла изготавливать пластины	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	87	Allows the metal press to make rods	Позволяет прессу для металла изготавливать стержни	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	104	Used to cut	Используется для резки	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	127	Made in the metal press	Создаётся в прессе для металла	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	161	Made from iron plates	Создаётся из железных пластин	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	178	Used to move fluids	Используется для перемещения жидкостей	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	198	Allows the metal press to make wires	Позволяет прессу для металла изготавливать провода	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	215	Basic wire	Простой провод	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	235	Cuts logs into planks and sawdust	Распиливает брёвна на доски и опилки	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	280	Sawmill	Лесопилка	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	286	Can be used to make paper	Можно использовать для изготовления бумаги	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	303	Paper	Бумага	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	323	Allows the crafting of other metal press molds	Позволяет создавать другие пресс-формы для пресса по металлу	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	346	A base to craft some dyes	Основа для создания красителей	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	363	Water drops and dye base can be used to make blue dye	Из капель воды и основы красителя можно получить синий краситель	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	380	Right click to install onto the sawmill	Нажмите ПКМ, чтобы установить на лесопилку	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	403	Can be used to make mechanical parts a lot cheaper	Значительно удешевляет создание механических деталей	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	421	Used to make compact machines which are small pocket dimensions ideal for putting machines	Используется для создания компактных машин — небольших карманных измерений, удобных для размещения механизмов	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	438	Allows you to enter your compact machines	Позволяет входить в компактные машины	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	455	Moves energy into and out of the compact machine	Передаёт энергию внутрь компактной машины и наружу	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	480	Moves items into and out of the compact machine	Передаёт предметы внутрь компактной машины и наружу	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	505	Moves fluid into and out of the compact machine	Передаёт жидкости внутрь компактной машины и наружу	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	534	Keeps your compact machine loaded	Поддерживает компактную машину загруженной	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	562	Keeps track of foods eaten the more you eat the more health you get	Учитывает съеденные виды пищи: чем разнообразнее ваш рацион, тем больше максимальный запас здоровья	reviewed
overrides/config/ftbquests/quests/chapters/impressive.snbt	578	Impressive	Впечатляющие технологии	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	13	Made inside the blast furnace	Создаётся в доменной печи	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	30	Nuggets can be turned into ingots	Из кусочков можно создавать слитки	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	116	Used to make different machines	Используется для изготовления различных машин	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	133	Moves blocks	Перемещает блоки	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	150	Crafted in a crafting table can be made more efficiently using the metal press	Можно создать на верстаке, но пресс для металла расходует материалы эффективнее	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	167	Used to create immersive engineering multiblock machines, can also be climbed	Используется в мультиблочных механизмах Immersive Engineering; по этому блоку также можно карабкаться	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	184	Used to create immersive engineering multiblock machines	Используется в мультиблочных механизмах Immersive Engineering	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	201	Used to make heavy engineering blocks	Используется для создания тяжёлых инженерных блоков	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	235	Growing hemp	Выращивание технической конопли	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	252	Grown from hemp seeds	Выращивается из семян технической конопли	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	269	Made from hemp	Создаётся из технической конопли	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	286	Made with hemp	Создаётся из технической конопли	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	303	Fake leather	Искусственная кожа	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	323	Used to create immersive engineering multiblock machines, can also be used to move items	Используется в мультиблочных механизмах Immersive Engineering и для перемещения предметов	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	340	Block of string, please dont make a bed it will explode and kill you in space	Блок нити. Не делайте из него кровать: в космосе она взорвётся и убьёт вас	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	374	Better power cables, unlocks the gravity generator in the shop	Улучшенные энергокабели; открывают гравитационный генератор в магазине	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	391	Stores power	Хранит энергию	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	408	Made in the drying table	Создаётся на сушильном столе	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	425	When broken drops a random seed	При разрушении выпадают случайные семена	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	445	When broken drops a random mushroom	При разрушении выпадает случайный гриб	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	462	Just a bucket	Просто ведро	reviewed
overrides/config/ftbquests/quests/chapters/iron_cluster.snbt	479	Can be crafted with water drops and ersalz leather	Создаётся из капель воды и искусственной кожи	reviewed
